date,store,type,actual_revenue,forecast_revenue,lower_ci,upper_ci,model
2012-02-10,10,backtest,2218595.8,2159693.587603037,1955190.3002126955,2344639.608419284,Prophet
2012-02-17,10,backtest,2168709.76,1918290.995532432,1711454.402512795,2114767.991354913,Prophet
2012-02-24,10,backtest,2039415.74,1891700.0509271328,1701173.4617034255,2093624.6661145391,Prophet
2012-03-02,10,backtest,1990371.02,1858939.742275603,1661497.179381871,2052086.9413979573,Prophet
2012-03-09,10,backtest,1917483.1,1841564.5312388216,1646731.8935192556,2030908.362315187,Prophet
2012-03-16,10,backtest,1930814.66,1841139.9029245367,1656944.5782973825,2045897.904984485,Prophet
2012-03-23,10,backtest,1837457.69,1790687.9670214078,1600594.9742463108,1971866.895050421,Prophet
2012-03-30,10,backtest,1815760.42,1802751.909486892,1598980.3145630765,2004976.906435594,Prophet
2012-04-06,10,backtest,2163384.17,1819877.7813386607,1619719.487810989,2017461.5535858872,Prophet
2012-04-13,10,backtest,1974687.51,1828697.2672758151,1625194.2206427003,2027581.173658992,Prophet
2012-04-20,10,backtest,1777166.53,1771506.1301419262,1583275.4140112957,1954685.3045352588,Prophet
2012-04-27,10,backtest,1712987.56,1732202.469444305,1538232.521172509,1925492.726219553,Prophet
2012-05-04,10,backtest,1821364.42,1676572.6104588546,1476714.0303529468,1862882.0835231368,Prophet
2012-05-11,10,backtest,1792345.3,1680099.581671514,1490050.2800945656,1901054.5009332527,Prophet
2012-05-18,10,backtest,1795152.73,1726847.7688652386,1534188.133832997,1916428.850071346,Prophet
2012-05-25,10,backtest,1830939.1,1720301.1224158616,1516372.7665084023,1913563.5928819769,Prophet
2012-06-01,10,backtest,1767471.48,1715732.7451090924,1523438.076523978,1896155.403885087,Prophet
2012-06-08,10,backtest,1840491.41,1697877.9867950892,1508613.460847004,1880317.4720625232,Prophet
2012-06-15,10,backtest,1811562.88,1691785.816567693,1484827.878333054,1883027.337213321,Prophet
2012-06-22,10,backtest,1755334.18,1664211.306858905,1469096.2426585115,1856977.7274018505,Prophet
2012-06-29,10,backtest,1707481.9,1626827.9651761132,1424434.1989182795,1814641.364514128,Prophet
2012-07-06,10,backtest,1805999.79,1583327.5599425794,1386100.7098820647,1771322.3252316753,Prophet
2012-07-13,10,backtest,1765571.91,1593888.1217680636,1406742.0421087935,1786205.4103840466,Prophet
2012-07-20,10,backtest,1869967.03,1603391.7493526232,1392393.5765989234,1797900.0286071452,Prophet
2012-07-27,10,backtest,1817603.66,1677165.696250538,1482449.9116909732,1860639.981028944,Prophet
2012-08-03,10,backtest,1939440.09,1717547.3864398028,1519376.1234647415,1912296.248733165,Prophet
2012-08-10,10,backtest,1880436.94,1783250.03522807,1591753.7091008893,1957903.9271013488,Prophet
2012-08-17,10,backtest,1827797.4,1786131.156394036,1599779.858764481,1971718.832134161,Prophet
2012-08-24,10,backtest,1764984.15,1710071.2558181738,1523739.3548735154,1903663.9097164727,Prophet
2012-08-31,10,backtest,1650285.54,1589516.7321168066,1389096.1805099696,1779709.2516588657,Prophet
2012-09-07,10,backtest,1708283.28,1712040.6711331746,1518838.4747115874,1902662.1674077203,Prophet
2012-09-14,10,backtest,1640168.99,1426262.1533301151,1242321.6445605117,1624136.0538193148,Prophet
2012-09-21,10,backtest,1671857.57,1494975.6102736115,1303556.9313833353,1686220.7829282454,Prophet
2012-09-28,10,backtest,1694862.41,1570055.2813745842,1374815.8504973573,1759700.1914444314,Prophet
2012-10-05,10,backtest,1758971.38,1648653.381779106,1452678.1380297614,1839426.8566441804,Prophet
2012-10-12,10,backtest,1713889.11,1654370.4914608074,1465462.4543245088,1847612.0952349536,Prophet
2012-10-19,10,backtest,1734834.82,1605738.11885818,1409369.80376034,1802649.465987735,Prophet
2012-10-26,10,backtest,1744349.05,1606977.8277605646,1426318.6956123642,1811101.7372912087,Prophet
2012-11-04,10,future,,1817557.5228437767,1623427.6659012723,1999960.311914616,Prophet
