date,actual_revenue,forecast_revenue,lower_ci,upper_ci,store,type
2012-02-10,2218595.8,2159693.587603037,1955190.3002126955,2344639.608419284,10,backtest
2012-02-17,2168709.76,1918290.995532432,1711454.402512795,2114767.991354913,10,backtest
2012-02-24,2039415.74,1891700.0509271328,1701173.4617034255,2093624.6661145391,10,backtest
2012-03-02,1990371.02,1858939.742275603,1661497.179381871,2052086.9413979573,10,backtest
2012-03-09,1917483.1,1841564.5312388216,1646731.8935192556,2030908.362315187,10,backtest
2012-03-16,1930814.66,1841139.9029245367,1656944.5782973825,2045897.904984485,10,backtest
2012-03-23,1837457.69,1790687.9670214078,1600594.9742463108,1971866.895050421,10,backtest
2012-03-30,1815760.42,1802751.909486892,1598980.3145630765,2004976.906435594,10,backtest
2012-04-06,2163384.17,1819877.7813386607,1619719.487810989,2017461.5535858872,10,backtest
2012-04-13,1974687.51,1828697.2672758151,1625194.2206427003,2027581.1736589917,10,backtest
2012-04-20,1777166.53,1771506.1301419262,1583275.4140112957,1954685.3045352588,10,backtest
2012-04-27,1712987.56,1732202.469444305,1538232.521172509,1925492.726219553,10,backtest
2012-05-04,1821364.42,1676572.6104588546,1476714.0303529468,1862882.0835231368,10,backtest
2012-05-11,1792345.3,1680099.581671514,1490050.2800945656,1901054.5009332527,10,backtest
2012-05-18,1795152.73,1726847.7688652386,1534188.133832997,1916428.850071346,10,backtest
2012-05-25,1830939.1,1720301.1224158616,1516372.7665084023,1913563.5928819769,10,backtest
2012-06-01,1767471.48,1715732.7451090924,1523438.076523978,1896155.403885087,10,backtest
2012-06-08,1840491.41,1697877.9867950892,1508613.460847004,1880317.4720625232,10,backtest
2012-06-15,1811562.88,1691785.816567693,1484827.878333054,1883027.337213321,10,backtest
2012-06-22,1755334.18,1664211.306858905,1469096.2426585115,1856977.7274018505,10,backtest
2012-06-29,1707481.9,1626827.9651761132,1424434.1989182795,1814641.364514128,10,backtest
2012-07-06,1805999.79,1583327.5599425794,1386100.7098820647,1771322.3252316753,10,backtest
2012-07-13,1765571.91,1593888.1217680636,1406742.0421087935,1786205.4103840466,10,backtest
2012-07-20,1869967.03,1603391.7493526232,1392393.5765989234,1797900.0286071452,10,backtest
2012-07-27,1817603.66,1677165.696250538,1482449.9116909732,1860639.981028944,10,backtest
2012-08-03,1939440.09,1717547.3864398028,1519376.1234647415,1912296.248733165,10,backtest
2012-08-10,1880436.94,1783250.03522807,1591753.7091008893,1957903.9271013488,10,backtest
2012-08-17,1827797.4,1786131.156394036,1599779.858764481,1971718.832134161,10,backtest
2012-08-24,1764984.15,1710071.2558181738,1523739.3548735154,1903663.9097164727,10,backtest
2012-08-31,1650285.54,1589516.7321168066,1389096.1805099696,1779709.2516588657,10,backtest
2012-09-07,1708283.28,1712040.6711331746,1518838.4747115874,1902662.1674077203,10,backtest
2012-09-14,1640168.99,1426262.1533301151,1242321.6445605117,1624136.0538193148,10,backtest
2012-09-21,1671857.57,1494975.6102736115,1303556.9313833353,1686220.7829282454,10,backtest
2012-09-28,1694862.41,1570055.2813745842,1374815.8504973573,1759700.1914444314,10,backtest
2012-10-05,1758971.38,1648653.381779106,1452678.1380297614,1839426.8566441804,10,backtest
2012-10-12,1713889.11,1654370.4914608074,1465462.4543245088,1847612.0952349536,10,backtest
2012-10-19,1734834.82,1605738.11885818,1409369.80376034,1802649.465987735,10,backtest
2012-10-26,1744349.05,1606977.8277605646,1426318.6956123642,1811101.7372912092,10,backtest
2012-11-04,,1817557.5228437767,1623427.6659012723,1999960.311914616,10,future
2012-11-11,,2104870.115187137,1917380.4845994408,2288984.496332296,10,future
2012-11-18,,2083730.8638331275,1875932.9297990508,2265008.3254749286,10,future
2012-11-25,,2205263.752248059,2010453.4236274024,2411300.539802995,10,future
2012-12-02,,2385608.6054959344,2188982.33603847,2591345.7852313006,10,future
2012-12-09,,2602097.260085936,2408739.0747812674,2797896.342291733,10,future
2012-12-16,,2719646.304342012,2520450.8756427797,2907603.6506827134,10,future
2012-12-23,,2596254.559718722,2410233.335972757,2801331.197269896,10,future
2012-12-30,,2233281.047460328,2034418.832781058,2427600.116529383,10,future
2013-01-06,,1809895.688152902,1618958.3473438034,1991714.0042453432,10,future
2013-01-13,,1550851.9095688316,1362239.3440365137,1741617.9418113274,10,future
2013-01-20,,1549138.643643757,1349410.7789307754,1741459.832695816,10,future
2012-02-10,1574287.76,1621476.382232399,1508046.1657031998,1732552.0058745414,11,backtest
2012-02-17,1569607.94,1532665.4994791076,1422944.8409856816,1643064.595351534,11,backtest
2012-02-24,1379473.03,1520242.0889276534,1404824.3045129594,1624563.3805737812,11,backtest
2012-03-02,1438383.44,1464704.080371071,1349266.292928313,1574920.9697816528,11,backtest
2012-03-09,1413382.76,1402524.4174344009,1296560.7142238563,1511926.7484122296,11,backtest
2012-03-16,1441884.28,1386093.2018806983,1273501.76782889,1495572.6012561962,11,backtest
2012-03-23,1300593.61,1389675.9068201426,1278678.3670463334,1494094.6774999606,11,backtest
2012-03-30,1300104.03,1410073.9473929396,1308382.5740479373,1519402.1400905808,11,backtest
2012-04-06,1596325.01,1480109.3464197095,1379852.1867067632,1589765.5456550547,11,backtest
2012-04-13,1472752.01,1466887.9216713514,1360333.4100494443,1573702.7208874463,11,backtest
2012-04-20,1315356.99,1438860.822050948,1326994.9992057402,1556513.6014053875,11,backtest
2012-04-27,1236238.29,1397135.8725491145,1277110.328480241,1502649.0010956577,11,backtest
2012-05-04,1370251.22,1369763.8688550426,1256955.288442405,1489862.9793550232,11,backtest
2012-05-11,1300147.07,1306167.2229309592,1195054.0049619968,1420238.8613674494,11,backtest
2012-05-18,1352442.31,1273862.970316688,1161450.7482866142,1389080.7140634286,11,backtest
2012-05-25,1297335.87,1307578.6873730898,1198415.072421302,1412400.498482263,11,backtest
2012-06-01,1361595.33,1342603.8697113856,1229682.7013713345,1456266.4805388807,11,backtest
2012-06-08,1414343.53,1357957.5492516896,1243951.4456642263,1472809.4398516526,11,backtest
2012-06-15,1417875.42,1363411.1237463746,1255491.4280315472,1480612.1518927133,11,backtest
2012-06-22,1355680.3,1333497.4144013342,1223022.232622841,1438640.5800113669,11,backtest
2012-06-29,1297028.6,1331029.4480187353,1217792.4236353412,1436584.4295309605,11,backtest
2012-07-06,1461129.94,1371397.5341153713,1258860.9851501505,1482468.316732394,11,backtest
2012-07-13,1320239.51,1361396.151439267,1251540.9952688208,1475593.401903569,11,backtest
2012-07-20,1344483.81,1358033.0687353744,1255444.5279745075,1468671.338602174,11,backtest
2012-07-27,1272395.02,1389077.975946915,1278072.5871578746,1501604.5090943135,11,backtest
2012-08-03,1399341.07,1429695.9072021293,1324567.527101827,1549690.6129602443,11,backtest
2012-08-10,1388973.65,1497313.9481603713,1382483.796249814,1599262.8293939603,11,backtest
2012-08-17,1421307.2,1559893.450813489,1452318.7455618426,1667716.9799689131,11,backtest
2012-08-24,1409515.73,1525686.2475479315,1422572.221933235,1638683.5425221545,11,backtest
2012-08-31,1372872.35,1462533.4118599244,1344178.855576394,1580399.1011006327,11,backtest
2012-09-07,1304584.4,1491534.460892533,1390319.6452202094,1615539.2303718317,11,backtest
2012-09-14,1267675.05,1333679.9792642195,1214318.148441101,1441232.168380159,11,backtest
2012-09-21,1326132.98,1358054.719337799,1254875.360332508,1470259.9909861907,11,backtest
2012-09-28,1227430.73,1440692.916668441,1330256.308314415,1548278.6845477135,11,backtest
2012-10-05,1422794.26,1512550.4088989538,1397701.5250638789,1622514.7181859394,11,backtest
2012-10-12,1311965.09,1468330.5215821909,1347488.7124415047,1579223.6494002854,11,backtest
2012-10-19,1232073.18,1466182.7258928306,1353173.5779410757,1580571.033213085,11,backtest
2012-10-26,1200729.45,1490288.4137390442,1377193.2406734347,1605143.1827788097,11,backtest
2012-11-04,,1655415.8160010977,1536586.2658106606,1755712.2578426995,11,future
2012-11-11,,1667738.1417766216,1549582.794448987,1778540.524264902,11,future
2012-11-18,,1731412.707641763,1618553.6887399135,1840937.7948130227,11,future
2012-11-25,,1769735.2707463698,1656277.449138457,1881873.3525808337,11,future
2012-12-02,,1888467.6084199967,1778224.0229947262,1997472.3276289927,11,future
2012-12-09,,2064833.1897273653,1953335.34697516,2170690.172690325,11,future
2012-12-16,,2185121.9975165464,2071359.592880479,2302031.5228792946,11,future
2012-12-23,,2136358.2899141395,2016293.2317013189,2252117.7984390985,11,future
2012-12-30,,1912628.8873420544,1805965.886890528,2026226.929058926,11,future
2013-01-06,,1632508.3236833604,1524779.2150730456,1745841.0780115083,11,future
2013-01-13,,1449778.1286353916,1340007.8482188135,1562811.8813939455,11,future
2013-01-20,,1439850.084327092,1333453.7772940288,1551754.6809712031,11,future
2012-02-10,1199330.85,1238197.3176304735,1141065.6509935886,1331861.0997899333,12,backtest
2012-02-17,1240048.85,1126426.7783819137,1021435.4769271072,1230139.3612990566,12,backtest
2012-02-24,1112034.72,1107931.6003146383,1013403.706969546,1208944.1166379526,12,backtest
2012-03-02,1147636.96,1082545.8842200127,980256.0758534266,1181257.1374332176,12,backtest
2012-03-09,1113208.57,1061420.203250288,961661.7244042546,1151241.3197896893,12,backtest
2012-03-16,1088498.52,1032147.361180285,932768.2022793704,1128006.4864795487,12,backtest
2012-03-23,1045419.87,1042328.1154158424,946320.3811250504,1130502.101728022,12,backtest
2012-03-30,1025382.22,1019504.7807780612,916083.1805527996,1118689.5415978143,12,backtest
2012-04-06,1128765.71,1055721.6438061802,960270.899706568,1158238.874222793,12,backtest
2012-04-13,1083811.19,1062874.4704745102,963815.0821291272,1163793.8460365925,12,backtest
2012-04-20,1006486.96,1067654.1777654325,967255.6124479276,1158477.7165068905,12,backtest
2012-04-27,1004252.38,1054573.3089237977,960261.4378296952,1153503.635090904,12,backtest
2012-05-04,1073433.69,1052825.3633190854,957281.3887793124,1156150.2324540874,12,backtest
2012-05-11,1041995.22,1043986.5740572968,945186.725647614,1146992.716596556,12,backtest
2012-05-18,1020486.05,1031523.017054471,933799.3721434512,1128194.5598898565,12,backtest
2012-05-25,991514.21,1016633.6439173636,917509.1329561358,1119995.1085015824,12,backtest
2012-06-01,981345.2,1031329.818578212,931217.1438034666,1131711.42164776,12,backtest
2012-06-08,1086231.47,1051543.3207044206,954792.750828734,1152565.505957944,12,backtest
2012-06-15,1019555.51,1059285.4808928615,961052.2219382932,1159919.4892284677,12,backtest
2012-06-22,981386.25,1050333.1180283297,950390.2072020044,1150989.175477882,12,backtest
2012-06-29,943124.74,1030609.4543819816,929385.5711454845,1128083.691579508,12,backtest
2012-07-06,1014898.78,1025894.2588029052,930138.9339492598,1125706.5580407486,12,backtest
2012-07-13,960312.75,1011292.1429575626,913628.4957591214,1110259.8113773342,12,backtest
2012-07-20,941550.34,1026256.0048620356,930563.181888582,1121918.0945914409,12,backtest
2012-07-27,916967.92,1017485.0498873092,920267.81439524,1119300.0950173987,12,backtest
2012-08-03,958667.23,1025023.43190048,938444.0718850882,1125997.6231439922,12,backtest
2012-08-10,984689.9,1028582.4473140324,929001.0735984264,1129957.4619817273,12,backtest
2012-08-17,1005003.12,1052912.835542617,954505.3146833638,1149497.7255099588,12,backtest
2012-08-24,1048101.39,1087809.567382763,980534.2875561313,1179874.2979592176,12,backtest
2012-08-31,1061943.49,1062845.1742481508,967524.44241779,1163590.4479708408,12,backtest
2012-09-07,955146.04,1122972.3003943018,1023459.6448039812,1213760.4592199596,12,backtest
2012-09-14,885892.37,921988.0932583292,823553.3962819288,1020972.522734009,12,backtest
2012-09-21,922735.37,893979.4781549264,794059.7883931296,987086.6159634443,12,backtest
2012-09-28,880415.67,935389.6151908597,841174.8436905342,1033227.4357768968,12,backtest
2012-10-05,979825.92,996832.294334706,895418.8252758698,1094426.5166336473,12,backtest
2012-10-12,934917.47,992078.6928004596,902382.3748095352,1098791.5213859882,12,backtest
2012-10-19,960945.43,975930.6941823656,878460.9530876571,1082774.1454701864,12,backtest
2012-10-26,974697.6,977148.0300515676,880155.7405484039,1074392.0838222,12,backtest
2012-11-04,,1114985.8226464277,1018705.060396308,1212446.5878375047,12,future
2012-11-11,,1216228.3872286947,1117901.603189231,1318187.1733996742,12,future
