date,actual_revenue,forecast_revenue,lower_ci,upper_ci,store,type
2012-02-10,473292.47,469925.13480730174,441083.91485439666,500240.60695618077,3,backtest
2012-02-17,475591.08,449642.2701759903,418322.20006947836,481172.76834235975,3,backtest
2012-02-24,418925.47,445426.26615361683,413732.4032878641,477405.87168322125,3,backtest
2012-03-02,469752.56,429700.15072796145,397537.70202675276,458475.2410578352,3,backtest
2012-03-09,445162.05,411636.5682487758,380498.5493717407,442568.99339360476,3,backtest
2012-03-16,411775.8,407036.66568940476,376839.3073356857,437482.5823552065,3,backtest
2012-03-23,413907.25,408039.1537693597,378379.0776407402,439003.48798776726,3,backtest
2012-03-30,407488.84,409797.58897531824,379483.2525552432,440300.00164667185,3,backtest
2012-04-06,503232.13,416561.2045709282,386595.89148946764,448192.51362658263,3,backtest
2012-04-13,420789.74,404650.6890739949,374552.31100203184,434994.220569277,3,backtest
2012-04-20,434822.13,394975.5209564778,364149.74955883186,425582.36136666907,3,backtest
2012-04-27,394616.11,391316.1053530189,362161.760770136,420861.93463491224,3,backtest
2012-05-04,439913.57,395268.6626506052,364673.4751310222,425118.5504553236,3,backtest
2012-05-11,431985.36,387292.83141890203,358349.5156665734,418860.0533232802,3,backtest
2012-05-18,418112.76,375983.1272090692,347200.6992487917,408396.5070292171,3,backtest
2012-05-25,413701.29,372324.79343971534,341190.72521877,400995.0705309842,3,backtest
2012-06-01,432268.53,373354.7769751972,343812.5914578194,404056.46627468587,3,backtest
2012-06-08,446336.8,379410.5666545968,349686.07541997154,410277.5419977464,3,backtest
2012-06-15,442074.79,386919.26466937305,357115.0262012651,418972.90016318386,3,backtest
2012-06-22,419497.95,383045.00039309054,351456.1976911761,411984.19861336116,3,backtest
2012-06-29,422965.33,375387.3409098567,346881.51570548926,406177.7527134,3,backtest
2012-07-06,411206.5,378680.56962819677,345808.745253781,407950.0117425145,3,backtest
2012-07-13,416913.1,374160.47267856856,344205.9748041576,404169.2867283422,3,backtest
2012-07-20,432424.85,376130.6997930185,347282.1131970824,408910.11250137666,3,backtest
2012-07-27,389427.9,387137.5513861385,355251.4849975038,417678.9066769684,3,backtest
2012-08-03,419990.29,392193.3841528175,362898.7298084336,423010.41829409683,3,backtest
2012-08-10,391811.6,399309.25344429695,369214.65821122023,428237.268536225,3,backtest
2012-08-17,394918.83,406315.12656801776,375604.6878965001,438412.9515063897,3,backtest
2012-08-24,412449.67,402070.3081644791,371569.23227688007,434935.84052262566,3,backtest
2012-08-31,408838.73,398012.0070011748,366999.8291841136,429188.1629573479,3,backtest
2012-09-07,408229.73,428000.2261072354,398771.67500831146,456381.2338353284,3,backtest
2012-09-14,407589.16,396370.58904847334,365864.4765847599,427896.8186795935,3,backtest
2012-09-21,414392.09,404974.05648360844,374196.7527051782,436321.8190205188,3,backtest
2012-09-28,389813.02,419581.54434722237,387326.9718507703,448112.79702515074,3,backtest
2012-10-05,443557.65,434882.89191715553,403889.75316049386,467844.74085825396,3,backtest
2012-10-12,410804.39,427852.611144748,397116.1114177633,460969.2032339956,3,backtest
2012-10-19,424513.08,427288.8280004621,395769.53442604205,459394.48637825303,3,backtest
2012-10-26,405432.7,430842.96862349834,400919.6734595192,459605.6227381547,3,backtest
2012-11-04,,500494.7832699622,469991.6874695712,530094.6823025846,3,future
2012-11-11,,508260.60589522275,478906.4690504439,538549.1787516336,3,future
2012-11-18,,544554.563403518,513674.15260938124,573688.6266823405,3,future
2012-11-25,,566957.3342262262,534981.7729549245,597035.2761974939,3,future
2012-12-02,,593467.15527137,561448.8702373612,623432.5583820514,3,future
2012-12-09,,616556.2396747213,586307.3529583347,646403.9776716328,3,future
2012-12-16,,620193.8772505514,590373.7362408461,649238.8786736169,3,future
2012-12-23,,593372.5835227397,563697.7064617244,624972.715963736,3,future
2012-12-30,,542470.4144313,513349.9103100283,571488.3663218811,3,future
2013-01-06,,489692.1232485457,455732.6321057395,518700.50942856236,3,future
2013-01-13,,458371.4410767809,427828.5403892372,488338.70260857145,3,future
2013-01-20,,458015.7375973874,428504.62732641824,489286.20077394764,3,future
