date,actual_revenue,forecast_revenue,store,type
2012-05-04,772036.6,759244.5,35,backtest
2012-05-11,802383.63,756779.06,35,backtest
2012-05-18,819196.68,738851.2,35,backtest
2012-05-25,822167.17,760110.9,35,backtest
2012-06-01,932195.52,802619.44,35,backtest
2012-06-08,873415.01,751507.3,35,backtest
2012-06-15,848289.41,754668.1,35,backtest
2012-06-22,911696.0,779405.75,35,backtest
2012-06-29,892133.41,834963.94,35,backtest
2012-07-06,985479.64,816105.25,35,backtest
2012-07-13,825763.48,860376.1,35,backtest
2012-07-20,841224.74,765226.4,35,backtest
2012-07-27,808030.15,779889.8,35,backtest
2012-08-03,866216.36,760070.4,35,backtest
2012-08-10,888368.8,765526.56,35,backtest
2012-08-17,887979.47,783523.5,35,backtest
2012-08-24,895274.72,785345.4,35,backtest
2012-08-31,931278.97,773351.25,35,backtest
2012-09-07,984833.35,821511.2,35,backtest
2012-09-14,821568.64,818871.25,35,backtest
2012-09-21,772302.94,748979.7,35,backtest
2012-09-28,814099.86,755904.4,35,backtest
2012-10-05,866064.4,757873.75,35,backtest
2012-10-12,873643.14,742124.75,35,backtest
2012-10-19,829284.67,757783.06,35,backtest
2012-10-26,865137.6,767010.25,35,backtest
2012-11-04,,761223.56,35,future
2012-11-11,,770931.06,35,future
2012-11-18,,784308.56,35,future
2012-11-25,,1553778.0,35,future
2012-12-02,,881523.4,35,future
2012-12-09,,1396147.6,35,future
2012-12-16,,1111774.5,35,future
2012-12-23,,1439609.8,35,future
2012-12-30,,933517.7,35,future
2013-01-06,,664636.5,35,future
2013-01-13,,623817.9,35,future
2013-01-20,,649380.1,35,future
